waveform_id,mass1,mass2,mass_ratio,spin1,chi1x,chi1y,chi1z,spin2,chi2x,chi2y,chi2z,alpha,beta,gamma,massf,spinf,chifx,chify,chifz,eccentricity
SXS:BBH:0825,0.500004361802,0.499994467427,1.000019788968968,0.7999550258959028,0.576912458388,-0.55353609551,0.0264168465259,7.268838014888335e-05,1.3560894787e-06,1.45974019006e-06,-7.26610679014e-05,1.6042546077078568,1.5377674072345686,3.114178501266596,0.949165104058,0.7054715509212068,0.0139463364014,-0.110270052192,0.696660695353,0.0005974
SXS:BBH:0826,0.500017975241,0.500041340614,0.999953273117436,0.7999006803145668,0.661194662512,-0.449286358225,0.0283634438365,0.7999689430454874,-0.0621739416837,-0.0430740685138,0.796385167764,1.5694965224706934,1.535330185117811,0.094691519422539,0.932956578105,0.8158556687957221,0.0568495187767,-0.118324208318,0.805225425733,
SXS:BBH:0827,0.666721543079,0.333390694702,1.9998204919154885,0.7998580099628452,0.759485543015,-0.247783711441,0.0394687014919,0.7996814219341745,-0.065688699486,-0.0956409845166,0.791219421796,1.5629213002638316,1.521431645081098,0.145605144157823,0.952663678675,0.7464378333244759,0.176731394911,-0.135778355908,0.71239012566,
SXS:BBH:0828,0.500006352972,0.500006485919,0.9999997341094492,0.7999454064273316,0.590375278018,-0.537095841106,0.0538306774618,0.7999439061123472,0.600134961772,-0.525906102582,0.0563120933034,0.0188189210318926,1.503452496445658,1.5003430041988817,0.945177401702,0.7727887774867096,0.0439934446341,-0.259172948684,0.726702452252,
SXS:BBH:0829,0.666689409596,0.333339563901,2.000030844805458,0.799962629247371,0.710667353013,-0.36236551277,0.0598611452346,0.7999138904572017,0.743455653001,-0.28745615671,0.0671184187593,0.102668412775408,1.495896387875979,1.4867905021545644,0.953968581206,0.7341431494148364,0.179342441499,-0.211586568535,0.679730517577,0.0004193
SXS:BBH:0830,0.666723277975,0.333386010187,1.9998537959077147,0.7998997413107731,0.699477470196,-0.383001445474,0.0622957269969,0.7996848255743403,-0.648204364821,-0.46111851365,-0.0818329887642,2.0271600125077285,1.4928379665308364,1.6733073233423017,0.956533779367,0.6873600690688844,0.111069769548,-0.154047503808,0.660603313202,
SXS:BBH:0831,0.500007620941,0.500028266487,0.9999587112421764,0.7999483162314862,0.570947935873,-0.558489751456,-0.0449995631375,0.7999155527256763,0.173522167921,0.7774014803,0.0734975316578,2.128040565482068,1.627079125229465,1.478784938695519,0.949559823528,0.7065152274406566,0.105872983615,-0.0477507739039,0.696903538187,0.0003481
SXS:BBH:0832,0.666722923504,0.333376967366,1.9999069784927104,0.799843155663873,0.702447317017,-0.382255920176,-0.0140446419805,0.7998276656435926,-0.117209334002,0.785157202019,0.0975419646582,2.2142823952387265,1.5883564743127223,1.4485382615676643,0.957612551827,0.6935724486893341,0.204295248106,-0.123711066956,0.651154179204,9.99999
SXS:BBH:0833,0.66671608529,0.333378783138,1.9998755740074112,0.7998735621338829,0.585567462953,-0.544127232939,0.0288793370021,0.7995625847862404,0.0877087181748,0.0569745430343,-0.792692506078,1.5747592282023342,1.534683600498881,3.010408590144751,0.962362299493,0.6757139848880674,0.153371752617,-0.195707081526,0.628303456232,0.0006169
SXS:BBH:0834,0.500040875582,0.499997212822,1.0000873260067864,0.7998472632039925,-0.559557444044,-0.570706995148,0.0307349468684,4.156972068284365e-05,-1.8652824575e-06,3.16222509911e-08,-4.15278388438e-05,1.5783354837302974,1.532360844205636,3.096699947398869,0.950281099871,0.7091140588716737,-0.116868253699,-0.00580805287077,0.699393184331,0.0006429
