waveform_id,mass1,mass2,mass_ratio,symmetric_mass_ratio,delta,chi1z,chi2z,chi_s,chi_a,massf,chifz
SXS:BBH:0217,0.500000557180331,0.49999944281966896,1.0000022287238077,0.24999999999968953,1.1144036411218784e-06,-0.599969375919,0.599983044885,6.165893112974885e-06,-0.5999762103943839,0.9513258984260071,0.685149757623
SXS:BBH:0219,0.5,0.5,1.0,0.25,0.0,-0.49997637681,0.899800287425,0.19991195530749997,-0.6998883321175,0.9449737317489777,0.744055534762
SXS:BBH:0220,0.5,0.5,1.0,0.25,0.0,-0.40000233413,-0.799860789321,-0.5999315617255,0.1999292275955,0.9637110356651375,0.494138364274
SXS:BBH:0221,0.5,0.5,1.0,0.25,0.0,-0.400001421475,0.799916096272,0.1999573373985,-0.5999587588735,0.9451165147020101,0.744674418318
SXS:BBH:0224,0.5,0.5,1.0,0.25,0.0,0.400002613238,-0.799832698385,-0.1999150425735,0.5999176558115,0.9562443517526201,0.623231785726
SXS:BBH:0225,0.5,0.5,1.0,0.25,0.0,0.400011354106,0.799907395909,0.5999593750075,-0.19994802090149996,0.9267276124720449,0.857390604606
SXS:BBH:0226,0.5,0.5,1.0,0.25,0.0,0.500006785023,-0.899703034225,-0.199848124601,0.699854909624,0.9561586630735024,0.622857568162
SXS:BBH:0228,0.5,0.5,1.0,0.25,0.0,0.599991103591,0.599991112831,0.5999911082110001,-4.619999993682455e-09,0.9268310399419989,0.857810953343
SXS:BBH:0229,0.5000064723073646,0.49999352769263533,1.000025889564589,0.24999999995810926,1.2944611369388746e-05,0.649960086792,0.249998882042,0.4499820730888511,0.19998642718606185,0.935146552100623,0.817298505478
SXS:BBH:0230,0.5000000318447019,0.49999996815529807,1.0000001273788157,0.24999999999999895,6.495265578539184e-08,0.799875676879,0.799875899098,0.7998757879884928,-6.016588799395706e-08,0.911185572536946,0.907522920821
SXS:BBH:0232,0.5000430544548011,0.49995694554519904,1.0001722326499698,0.249999998146314,8.610890802337967e-05,0.899805253084,0.50001649341,0.6999280859340835,0.19995464839911398,0.9196898881217497,0.882786723975
SXS:BBH:0233,0.6666375517742236,0.33336244822577643,1.9997379888532913,0.22223192633869293,0.3332751035484473,-0.871278761122,0.849690979699,-0.29757207499943156,-0.8640822054550659,0.9692396025369121,0.389877236144
SXS:BBH:0234,0.6666379451341522,0.33336205486584775,1.9997415284784645,0.22223179524146727,0.33327589026830445,-0.849871883914,-0.849608828599,-0.8497841912536481,-0.2833295013857912,0.9740135295014845,0.28539550044
SXS:BBH:0235,0.6666606483765809,0.3333393516234191,1.9999458363671456,0.22222422828269764,0.33332129675316197,-0.600036651953,-0.5998786758,-0.5999839922845871,-0.2000576545968126,0.9712753515437178,0.387705563983
